LAMMPS data file: diamond lathe fixture (rail + tool + two rotating grippers)

56268 atoms
3 atom types

-119.9000 97.2880 xlo xhi
-169.1030 127.0580 ylo yhi
-64.8650 78.4450 zlo zhi

Masses

1 12.0110  # C (diamond)
2 1.0080  # H (diamond surface termination)
3 63.5460          # Cu (workpiece, added later)

Atoms # full

1 1 1 0.0 56.8600 -7.6800 -32.1450
2 1 1 0.0 55.5660 -7.1830 -32.8490
3 1 1 0.0 54.3000 -7.6980 -32.1030
4 1 1 0.0 53.0000 -7.2040 -32.8050
5 1 1 0.0 51.7320 -7.7190 -32.0600
6 1 1 0.0 50.4300 -7.2240 -32.7590
7 1 1 0.0 49.1610 -7.7390 -32.0130
8 1 1 0.0 47.8590 -7.2430 -32.7110
9 1 1 0.0 46.5900 -7.7550 -31.9640
10 1 1 0.0 45.2870 -7.2580 -32.6600
11 1 1 0.0 44.0200 -7.7700 -31.9110
12 1 1 0.0 42.7160 -7.2730 -32.6060
13 1 1 0.0 41.4500 -7.7840 -31.8550
14 1 1 0.0 40.1480 -7.2880 -32.5510
15 1 1 0.0 38.8830 -7.8000 -31.7980
16 1 1 0.0 37.5800 -7.3050 -32.4930
17 1 1 0.0 36.3160 -7.8160 -31.7380
18 1 1 0.0 35.0120 -7.3230 -32.4330
19 1 1 0.0 33.7490 -7.8330 -31.6760
20 1 1 0.0 32.4460 -7.3410 -32.3700
21 1 1 0.0 31.1850 -7.8500 -31.6120
22 1 1 0.0 29.8830 -7.3580 -32.3070
23 1 1 0.0 28.6260 -7.8700 -31.5470
24 1 1 0.0 27.3170 -7.3940 -32.2390
25 1 1 0.0 26.0940 -7.9630 -31.4630
26 1 1 0.0 59.4970 -7.6230 -27.7360
27 1 1 0.0 58.1810 -7.6410 -29.9440
28 1 1 0.0 58.2050 -7.1270 -28.4650
29 1 1 0.0 56.9400 -7.6400 -27.7040
30 1 1 0.0 56.8860 -7.1500 -30.6710
31 1 1 0.0 55.6200 -7.6580 -29.9080
32 1 1 0.0 55.6420 -7.1500 -28.4280
33 1 1 0.0 54.3750 -7.6660 -27.6650
34 1 1 0.0 54.3210 -7.1710 -30.6300
35 1 1 0.0 53.0550 -7.6820 -29.8670
36 1 1 0.0 53.0750 -7.1750 -28.3860
37 1 1 0.0 51.8080 -7.6900 -27.6220
38 1 1 0.0 51.7540 -7.1940 -30.5870
39 1 1 0.0 50.4850 -7.7030 -29.8230
40 1 1 0.0 50.5070 -7.1980 -28.3410
41 1 1 0.0 49.2390 -7.7100 -27.5740
42 1 1 0.0 49.1840 -7.2140 -30.5410
43 1 1 0.0 47.9160 -7.7220 -29.7750
44 1 1 0.0 47.9380 -7.2160 -28.2930
45 1 1 0.0 46.6700 -7.7260 -27.5240
46 1 1 0.0 46.6140 -7.2300 -30.4910
47 1 1 0.0 45.3460 -7.7370 -29.7230
48 1 1 0.0 45.3690 -7.2300 -28.2420
49 1 1 0.0 44.1020 -7.7380 -27.4700
50 1 1 0.0 44.0450 -7.2440 -30.4380
51 1 1 0.0 42.7770 -7.7490 -29.6680
52 1 1 0.0 42.8020 -7.2420 -28.1870
53 1 1 0.0 41.5360 -7.7490 -27.4140
54 1 1 0.0 41.4760 -7.2570 -30.3830
55 1 1 0.0 40.2110 -7.7620 -29.6120
56 1 1 0.0 40.2360 -7.2530 -28.1310
57 1 1 0.0 38.9720 -7.7600 -27.3560
58 1 1 0.0 38.9100 -7.2710 -30.3260
59 1 1 0.0 37.6450 -7.7760 -29.5530
60 1 1 0.0 37.6710 -7.2650 -28.0730
61 1 1 0.0 36.4070 -7.7710 -27.2970
62 1 1 0.0 36.3440 -7.2860 -30.2670
63 1 1 0.0 35.0790 -7.7900 -29.4920
64 1 1 0.0 35.1070 -7.2780 -28.0120
65 1 1 0.0 33.8440 -7.7830 -27.2350
66 1 1 0.0 33.7780 -7.3010 -30.2060
67 1 1 0.0 32.5150 -7.8040 -29.4290
68 1 1 0.0 32.5440 -7.2890 -27.9490
69 1 1 0.0 31.2810 -7.7930 -27.1700
70 1 1 0.0 31.2140 -7.3150 -30.1420
71 1 1 0.0 29.9520 -7.8160 -29.3630
72 1 1 0.0 29.9810 -7.2990 -27.8840
73 1 1 0.0 28.7210 -7.8010 -27.1020
74 1 1 0.0 28.6510 -7.3300 -30.0770
75 1 1 0.0 27.3940 -7.8340 -29.2920
76 1 1 0.0 27.4200 -7.3100 -27.8160
77 1 1 0.0 26.1660 -7.8180 -27.0280
78 1 1 0.0 26.0820 -7.3740 -30.0090
79 1 1 0.0 24.8630 -7.9340 -29.2050
80 1 1 0.0 24.8550 -7.3560 -27.7450
81 1 1 0.0 23.6360 -7.9170 -26.9360
82 1 1 0.0 62.1320 -7.6050 -23.3020
83 1 1 0.0 60.8140 -7.6120 -25.5220
84 1 1 0.0 60.8400 -7.1070 -24.0340
85 1 1 0.0 59.5740 -7.6230 -23.2740
86 1 1 0.0 59.5220 -7.1150 -26.2520
87 1 1 0.0 58.2580 -7.6300 -25.4920
88 1 1 0.0 58.2770 -7.1320 -24.0010
89 1 1 0.0 57.0120 -7.6510 -23.2360
90 1 1 0.0 56.9600 -7.1400 -26.2180
91 1 1 0.0 55.6940 -7.6570 -25.4540
92 1 1 0.0 55.7130 -7.1600 -23.9610
93 1 1 0.0 54.4460 -7.6750 -23.1910
94 1 1 0.0 54.3950 -7.1670 -26.1770
95 1 1 0.0 53.1290 -7.6810 -25.4110
96 1 1 0.0 53.1490 -7.1800 -23.9180
97 1 1 0.0 51.8820 -7.6790 -23.1460
98 1 1 0.0 51.8280 -7.1900 -26.1330
99 1 1 0.0 50.5610 -7.7000 -25.3630
100 1 1 0.0 50.5820 -7.1900 -23.8730
101 1 1 0.0 49.3100 -7.6760 -23.0980
102 1 1 0.0 49.2600 -7.2090 -26.0850
103 1 1 0.0 47.9910 -7.7150 -25.3130
104 1 1 0.0 48.0120 -7.1990 -23.8240
105 1 1 0.0 46.7440 -7.6840 -23.0420
106 1 1 0.0 46.6920 -7.2240 -26.0340
107 1 1 0.0 45.4240 -7.7270 -25.2580
108 1 1 0.0 45.4470 -7.2080 -23.7690
109 1 1 0.0 44.1800 -7.6900 -22.9850
110 1 1 0.0 44.1250 -7.2340 -25.9810
111 1 1 0.0 42.8590 -7.7350 -25.2030
112 1 1 0.0 42.8840 -7.2140 -23.7130
113 1 1 0.0 41.6180 -7.6940 -22.9270
114 1 1 0.0 41.5610 -7.2430 -25.9260
115 1 1 0.0 40.2950 -7.7430 -25.1460
116 1 1 0.0 40.3220 -7.2200 -23.6570
117 1 1 0.0 39.0590 -7.6990 -22.8700
118 1 1 0.0 38.9970 -7.2520 -25.8680
119 1 1 0.0 37.7340 -7.7520 -25.0870
120 1 1 0.0 37.7610 -7.2270 -23.6010
121 1 1 0.0 36.5000 -7.7090 -22.8120
122 1 1 0.0 36.4340 -7.2630 -25.8090
123 1 1 0.0 35.1720 -7.7640 -25.0270
124 1 1 0.0 35.1990 -7.2430 -23.5380
125 1 1 0.0 33.9380 -7.7380 -22.7480
126 1 1 0.0 33.8730 -7.2740 -25.7470
127 1 1 0.0 32.6100 -7.7770 -24.9640
128 1 1 0.0 32.6400 -7.2620 -23.4730
129 1 1 0.0 31.3830 -7.7650 -22.6820
130 1 1 0.0 31.3110 -7.2840 -25.6830
131 1 1 0.0 30.0510 -7.7860 -24.8990
132 1 1 0.0 30.0840 -7.2750 -23.4070
133 1 1 0.0 28.8240 -7.7750 -22.6220
134 1 1 0.0 28.7510 -7.2910 -25.6170
135 1 1 0.0 27.4920 -7.7920 -24.8320
136 1 1 0.0 27.5250 -7.2810 -23.3420
137 1 1 0.0 26.2680 -7.7820 -22.5560
138 1 1 0.0 26.1920 -7.2990 -25.5460
139 1 1 0.0 24.9390 -7.8060 -24.7560
140 1 1 0.0 24.9680 -7.2900 -23.2710
141 1 1 0.0 23.7150 -7.7980 -22.4800
142 1 1 0.0 23.6290 -7.3430 -25.4710
143 1 1 0.0 22.4110 -7.9050 -24.6600
144 1 1 0.0 22.4050 -7.3350 -23.1940
145 1 1 0.0 21.1890 -7.8990 -22.3810
146 1 1 0.0 64.7670 -7.6010 -18.8550
147 1 1 0.0 63.4490 -7.6010 -21.0800
148 1 1 0.0 63.4760 -7.1010 -19.5900
149 1 1 0.0 62.2110 -7.6180 -18.8300
150 1 1 0.0 62.1570 -7.1020 -21.8130
151 1 1 0.0 60.8920 -7.6190 -21.0530
152 1 1 0.0 60.9140 -7.1250 -19.5590
153 1 1 0.0 59.6490 -7.6440 -18.7940
154 1 1 0.0 59.5950 -7.1270 -21.7810
155 1 1 0.0 58.3300 -7.6460 -21.0160
156 1 1 0.0 58.3490 -7.1530 -19.5190
157 1 1 0.0 57.0830 -7.6680 -18.7460
158 1 1 0.0 57.0300 -7.1560 -21.7400
159 1 1 0.0 55.7630 -7.6720 -20.9670
160 1 1 0.0 55.7800 -7.1780 -19.4670
161 1 1 0.0 54.5200 -7.7060 -18.6880
162 1 1 0.0 54.4620 -7.1820 -21.6910
163 1 1 0.0 53.1870 -7.6940 -20.9200
164 1 1 0.0 53.1980 -7.2420 -19.3990
165 1 1 0.0 51.9010 -7.1640 -21.6520
166 1 1 0.0 31.4180 -7.2510 -21.1840
167 1 1 0.0 30.1600 -7.7490 -20.3960
168 1 1 0.0 30.1930 -7.2270 -18.9010
169 1 1 0.0 28.9360 -7.7280 -18.1150
170 1 1 0.0 28.8600 -7.2630 -21.1280
171 1 1 0.0 27.6030 -7.7630 -20.3410
172 1 1 0.0 27.6370 -7.2480 -18.8470
173 1 1 0.0 26.3810 -7.7530 -18.0610
174 1 1 0.0 26.3030 -7.2720 -21.0640
175 1 1 0.0 25.0460 -7.7740 -20.2770
176 1 1 0.0 25.0810 -7.2640 -18.7840
177 1 1 0.0 23.8260 -7.7700 -17.9960
178 1 1 0.0 23.7450 -7.2830 -20.9930
179 1 1 0.0 22.4950 -7.7930 -20.2000
180 1 1 0.0 22.5250 -7.2790 -18.7110
181 1 1 0.0 21.2740 -7.7920 -17.9190
182 1 1 0.0 21.1840 -7.3300 -20.9140
183 1 1 0.0 19.9680 -7.8970 -20.0990
184 1 1 0.0 19.9630 -7.3300 -18.6320
185 1 1 0.0 18.7480 -7.8990 -17.8190
186 1 1 0.0 67.4050 -7.6000 -14.4020
187 1 1 0.0 66.0860 -7.6010 -16.6280
188 1 1 0.0 66.1140 -7.1010 -15.1370
189 1 1 0.0 64.8510 -7.6190 -14.3760
190 1 1 0.0 64.7950 -7.1010 -17.3640
191 1 1 0.0 63.5310 -7.6190 -16.6040
192 1 1 0.0 63.5540 -7.1270 -15.1070
193 1 1 0.0 62.2910 -7.6480 -14.3410
194 1 1 0.0 62.2340 -7.1260 -17.3350
195 1 1 0.0 60.9690 -7.6460 -16.5690
196 1 1 0.0 60.9910 -7.1550 -15.0700
197 1 1 0.0 59.7280 -7.6710 -14.2970
198 1 1 0.0 59.6690 -7.1530 -17.2960
199 1 1 0.0 58.4040 -7.6680 -16.5230
200 1 1 0.0 58.4260 -7.1770 -15.0210
201 1 1 0.0 57.1660 -7.7010 -14.2420
202 1 1 0.0 57.1020 -7.1750 -17.2440
203 1 1 0.0 55.8430 -7.7010 -16.4630
204 1 1 0.0 55.8450 -7.2300 -14.9500
205 1 1 0.0 54.5230 -7.2340 -17.1720
206 1 1 0.0 28.9700 -7.2070 -16.6200
207 1 1 0.0 27.7160 -7.7160 -15.8360
208 1 1 0.0 27.7470 -7.1980 -14.3420
209 1 1 0.0 26.4920 -7.7140 -13.5580
210 1 1 0.0 26.4160 -7.2400 -16.5670
211 1 1 0.0 25.1600 -7.7490 -15.7820
212 1 1 0.0 25.1910 -7.2390 -14.2870
213 1 1 0.0 23.9350 -7.7520 -13.5030
214 1 1 0.0 23.8590 -7.2620 -16.5030
215 1 1 0.0 22.6030 -7.7700 -15.7160
216 1 1 0.0 22.6340 -7.2640 -14.2230
217 1 1 0.0 21.3770 -7.7720 -13.4360
